n_individuals,n_tissues,n_tests,model,avg_secs,avg_hours,avg_days,avg_years
250,50,1000,TbT,0.722417368888855,0.000200671491358015,8.3613121399173e-06,2.29077044929241e-08
250,50,10000,FastGxE,1.22410347938538,0.000340028744273716,1.41678643447381e-05,3.88160666979127e-08
250,50,10000,LM-GxE,1182.75968194485,0.328544356095791,0.013689348170658,3.75050634812547e-05
250,50,10000,LMM-GxE,49273.3270411134,13.6870352891982,0.570293137049923,0.00156244695082171
250,50,10000,TbT,1.21228588581085,0.000336746079391903,1.40310866413293e-05,3.84413332639159e-08
250,50,1e+05,FastGxE,1.90787998914719,0.000529966663651996,2.20819443188332e-05,6.04984775858443e-08
250,50,1e+05,LM-GxE,7564.95410871506,2.10137614130974,0.0875573392212391,0.00023988312115408
250,50,1e+05,LMM-GxE,394004.652453232,109.445736792564,4.56023903302352,0.0124938055699274
250,50,1e+05,TbT,2.00546986579895,0.000557074962721931,2.32114567800804e-05,6.3593032274193e-08
250,50,1e+06,FastGxE,5.57017313241959,0.001547270314561,6.44695964400415e-05,1.76629031342579e-07
250,50,1e+06,LM-GxE,73051.0777579308,20.2919660438697,0.845498585161236,0.0023164344798938
250,50,1e+06,LMM-GxE,3843881.75334549,1067.74493148486,44.4893721452024,0.121888690808774
250,50,1e+06,TbT,5.59955509662628,0.00155543197128508,6.48096654702116e-05,1.77560727315648e-07
250,50,1e+07,FastGxE,24.0725964260101,0.00668683234055837,0.000278618014189932,7.63337025177896e-07
250,50,1e+07,LM-GxE,798672.477757073,221.853466043631,9.24389441848463,0.0253257381328346
250,50,1e+07,LMM-GxE,40128126.0642305,11146.7016845085,464.445903521187,1.27245453019503
250,50,1e+07,TbT,24.1915255618095,0.00671986821161376,0.00027999450881724,7.67108243334904e-07
900,14,100,FastGxE,0.172018039226532,4.77827886740367e-05,1.99094952808486e-06,5.45465624132839e-09
900,14,100,LM-GxE,2.42362861633301,0.000673230171203613,2.80512571334839e-05,7.68527592698189e-08
900,14,100,LMM-GxE,126.104588413239,0.0350290523370107,0.00145954384737545,3.99875026678204e-06
900,14,100,TbT,0.185156021118164,5.14322280883789e-05,2.14300950368246e-06,5.87125891419851e-09
900,14,1000,FastGxE,0.296485502719879,8.23570840888553e-05,3.43154517036897e-06,9.40149361744924e-09
900,14,1000,LM-GxE,23.3115703582764,0.00647543621063232,0.00026980984210968,7.39205046875836e-07
900,14,1000,LMM-GxE,1079.74847917557,0.299930133104324,0.0124970888793469,3.42385996694434e-05
900,14,1000,TbT,0.324381983280182,9.01061064667172e-05,3.75442110277988e-06,1.02860852130956e-08
900,14,10000,FastGxE,0.868623185157776,0.000241284218099382,1.00535090874743e-05,2.75438605136281e-08
900,14,10000,LM-GxE,198.830317540169,0.055230643761158,0.00230127682338158,6.30486800926461e-06
900,14,10000,LMM-GxE,9957.00245208979,2.76583401446939,0.115243083936224,0.000315734476537601
900,14,10000,TbT,0.899189848899841,0.000249774958027734,1.04072899178222e-05,2.85131230625267e-08
900,14,1e+05,FastGxE,2.07154547929764,0.0005754292998049,2.39762208252041e-05,6.5688276233436e-08
900,14,1e+05,LM-GxE,2223.03836603165,0.617510657231013,0.0257296107179589,7.04920841587915e-05
900,14,1e+05,LMM-GxE,100268.932479572,27.8524812443256,1.1605200518469,0.00317950699136137
900,14,1e+05,TbT,2.16154269456863,0.000600428526269065,2.5017855261211e-05,6.85420692087974e-08
900,14,1e+06,FastGxE,5.20385636329651,0.00144551565647125,6.02298190196355e-05,1.65013202793522e-07
900,14,1e+06,LM-GxE,18432.4613665581,5.12012815737724,0.213338673224052,0.000584489515682334
900,14,1e+06,LMM-GxE,933424.822456455,259.284672904571,10.8035280376905,0.0295987069525766
900,14,1e+06,TbT,5.28840789079666,0.00146900219188796,6.12084246619984e-05,1.67694314142461e-07
900,14,1e+07,FastGxE,16.8406115245819,0.0046779476457172,0.000194914485238216,5.34012288323881e-07
900,14,1e+07,LM-GxE,192758.589796543,53.544052721262,2.23100219671925,0.00611233478553219
900,14,1e+07,LMM-GxE,9669820.27549582,2686.06118763773,111.919216151572,0.306627989456362
900,14,1e+07,TbT,16.9550147652626,0.00470972632368406,0.000196238596820169,5.37639991288134e-07
900,50,100,FastGxE,0.828385660648346,0.000230107127957874,9.58779699824474e-06,2.62679369814925e-08
900,50,100,LM-GxE,60.1392176628113,0.0167053382396698,0.000696055759986242,1.90700208215409e-06
900,50,100,LMM-GxE,2178.01531162262,0.605004253228505,0.0252085105511877,6.90644124690075e-05
900,50,100,TbT,0.85705887556076,0.000238071909877989,9.91966291158288e-06,2.71771586618709e-08
900,50,1000,FastGxE,1.06344688415527,0.000295401912265354,1.23084130110564e-05,3.37216794823463e-08
900,50,1000,LM-GxE,402.999425697327,0.111944284915924,0.00466434520483017,1.27790279584388e-05
900,50,1000,LMM-GxE,17947.4510124207,4.98540305900574,0.207725127458572,0.000569109938242664
900,50,1000,TbT,1.12324812412262,0.000312013367811839,1.300055699216e-05,3.56179643620821e-08
900,50,10000,FastGxE,1.92354901313782,0.00053431917031606,2.22632987631692e-05,6.09953390771758e-08
900,50,10000,LM-GxE,2736.65937115431,0.760183158653975,0.0316742982772489,8.67788993897231e-05
900,50,10000,LMM-GxE,143409.871893983,39.8360755261064,1.65983648025443,0.00454749720617653
900,50,10000,TbT,1.95750143051147,0.000543750397364298,2.26562665568458e-05,6.20719631694405e-08
900,50,1e+05,FastGxE,5.24072559118271,0.00145575710866186,6.06565461942443e-05,1.66182318340395e-07
900,50,1e+05,LM-GxE,28662.3943705559,7.9617762140433,0.331740675585138,0.000908878563246952
