PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	gPC1	gPC2	gPC3	gPC4	gPC5	PCR	Cohort	Sex	Age	Ethnicity	Height	Weight	BMI	Death cause	Batch ID	Ischemic time	RIN Number	Tissue Type	Tissue	Uberon ID	Intragenic Rate	Total Mapping Rate	Exonic Mapping Rate	rRNA Rate
PC11	0.0350978896295828	0.0235568977029958	0.0155025375991976	0.0124367592736003	0.00266861877939679	0.00617631555276547	0.00479214939550808	0.0120404113421883	0.00762454257024252	0.0550524185268342	1	0.024936488444632	0.0591774340727353	0.00503635000353346	0.0585682077700762	0.0433632421750392	0.0163397401924617	0.0200350892748558	0.0259973854736748	0.034231314338575	0.0196349996598091	0.00506748370172022	0.00690528562275335	0.0248709676872424	0.00701694263795931	0.037648880807252	0.040429462093563	0.00335251084570258	0.049171035615254	0.00114495706222439	0.0032491279670969	0.00853376106638088	0.00719301312514444	0.0456029032550942	0.0113413765895525	0.0202136595223648	0.0206087715251483	0.00683926426635427	0.021890257906313	0.00621159046090711	0.0476791774401853	0.0117782096838448	0.0558611167268378	0.0106822617382058	0.0809822459528528	0.340074909466836	0.0473857153434247	0.0578560965180568	0.0456455131153914	0.152143507390924	0.00679147009141301	0.0430407345264596	0.0489718405007586	0.136399413911466	0.641910700350715	0.02836492142298	0.063262185311525	0.0743965703173284	0.10155416796032	0.101088195790122	0.0646427169225247	0.083263360101621	0.0374050788977319	0.00390233823946642
PC12	0.00876118727150694	0.0281726582677194	0.0774857785548078	0.0196836522416013	0.00402311340446278	0.0502272301119804	0.0387992813510643	0.0742618200263137	0.039175726370632	0.0173185508173318	0.024936488444632	1	0.106766096615904	0.026775796119788	0.0318883078142778	0.0497710300880789	0.0150782918903544	0.0564219910773886	0.00136206412865455	0.0373646977226377	0.0721900333344548	0.03937584029025	0.068025512959428	0.0843378746285827	0.0244818697164758	0.0413026045091402	0.0910331653840847	0.0277043396848797	0.0363799292622613	0.0161658109850364	0.0338703875924515	0.00301399744951444	0.0187276789298245	0.00245119109540877	0.0155938998242057	0.0355419524446964	0.0380532621789165	0.0110976667450886	0.0134233688021163	0.100094566683516	0.0948223323456272	0.0837223711690291	0.0931374683737559	0.0394869176719355	0.0523342760658303	0.116468738621565	0.0561898550945274	0.0391750613309933	0.120907587784867	0.0664911266014783	0.0835126867640319	0.0972495631905417	0.0672990490576168	0.0872146554237655	0.37982061102305	0.00547814988831148	0.00993062065695634	0.0684551736880143	0.081313228654782	0.081299427580708	0.0435210401773655	0.11252220062866	0.011361045502363	0.026269775182475
PC13	0.030235964986322	0.0359021252632454	0.0530097439436818	0.076129997080094	0.00993797028310996	0.0885896109506476	0.0316997590623016	0.0196272847772611	0.111654585814118	0.108117278461396	0.0591774340727353	0.106766096615904	1	0.23562665679535	0.100379913501515	0.0909899922603326	0.00802824461751523	0.136564568872049	0.14111665638497	0.127669081907462	0.148410671467323	0.142440401068723	0.00928038348974322	0.0621411389630558	0.179552808654052	0.0402911003688727	0.022394264051768	0.0320565204965576	0.0505840610331296	0.131000065677883	0.057767515704805	0.0799988310512177	0.0191509395692487	0.0750766490877689	0.0125936608774897	0.0774898636570641	0.0338446491029211	0.0170899675337633	0.0252165455592902	0.0544979357289942	0.0814761371392048	0.0157256806490071	0.071391884063769	0.0424709315968139	0.0840343033729044	0.153856864741596	0.12191901983742	0.00565304445885149	0.0982132541139868	0.303417842818299	0.0588114437466793	0.0458318639676961	0.022510959217967	0.174746655077824	0.469210264402538	0.180383869505812	0.0232548446392538	0.108138287211182	0.118559378056119	0.118455142377487	0.0480612675139747	0.136708874579309	0.0126348538213581	0.00180026620242549
PC14	0.0681816281125852	0.00356800300936077	0.132224970617277	0.0494355203271817	0.0725251683024535	0.0571410495588616	0.0782159315872476	0.0489698729313557	0.155691682229465	0.0536623168726312	0.00503635000353346	0.026775796119788	0.23562665679535	1	0.0158614183900262	0.130642005892649	0.288751444023435	0.0436899382977849	0.100946876004219	0.140004235466015	0.0161519263035043	0.0554164839253569	0.0589270657068757	0.13679109006411	0.00980664377496626	0.104993061611302	0.0222064060487912	0.15933516830882	0.0286287118130686	0.0954157621078369	0.041962436385546	0.011890723036063	0.0187205440035013	0.0163583541474398	0.0672331098121113	0.0708646897700468	0.0126410621124024	0.00997399311176752	0.0475369757183946	0.0701084366744299	0.029707588137082	0.032549360414627	0.00114809619776185	0.0367902656354091	0.0179428130319484	0.107964785328259	0.0388291074943952	0.0969527832272752	0.0836462202850125	0.158285086002625	0.107155142078807	0.136297953295713	0.0977637931137951	0.113011047059675	0.350502910060471	0.0650289177715993	0.0103939478248943	0.0519939776737145	0.0584500131893645	0.0584205161755901	0.0569309130382636	0.0273607485483579	0.0345926372902383	0.0205974587238826
PC15	0.00401488702777788	0.0221750851030667	0.00814702065102249	0.000819194757904535	0.060180399225438	0.0269076958190429	0.0335534925516646	0.0606858020262652	0.0390345212582899	0.0169526797980405	0.0585682077700762	0.0318883078142778	0.100379913501515	0.0158614183900262	1	0.0622301516776273	0.00208194551952241	0.021622182365156	0.0499078027622138	0.0195981930975825	0.00800478692342732	0.0404961252159128	0.0110636496248931	0.00483364567658161	0.0540931351390506	0.0191267675033384	0.00933467886547625	0.0257064024650327	0.0246146684136267	0.151405569898898	0.0202324756620706	0.0265347800573745	0.0659992608303308	0.0140596996247216	0.0129891850093672	0.00531875745667271	0.0471256114188116	0.0889915984160605	0.0496222798750806	0.00717912713425662	0.00993146211842788	0.0522950343350121	0.069253393363588	0.0260767263333235	0.0747135671329295	0.0323888848715042	0.0329626650927154	0.0705837775036628	0.0809106203494915	0.0550984790978295	0.0778853728245519	0.00515246503735028	0.0656158453088947	0.119545994139508	0.369994463720484	0.0420407961959667	0.0186170073364434	0.0470772050746257	0.0601855066532576	0.060167862860249	0.0278122421457492	0.0858363548191083	0.0326460091570925	0.0502688804199606
PC16	0.0774910246681118	0.0289541836445172	0.0350454130990632	0.00712419144632788	0.0423672190407779	0.0114716509437392	0.0174752286869231	0.0218836190019686	0.0455801632806559	0.0412478179075609	0.0433632421750392	0.0497710300880789	0.0909899922603326	0.130642005892649	0.0622301516776273	1	0.0343063853089171	0.084910318388037	0.0529413180739318	0.0470573454615925	0.0132711432670161	0.0524937665889882	0.0640961132694135	0.0094746051931499	0.0469677815066742	0.0390459795688151	0.0283759641618691	0.0051894420853418	0.0071666706517457	0.0311430753464158	0.0134072167500961	0.0420041776761864	0.0287515743416884	0.054317388973048	0.0202752332206221	0.0550019220311661	0.0227104510439563	0.0602708685528729	0.0137492427756698	0.0479051400642604	0.0313203276488437	0.00801009237270958	0.00814790612702429	0.00888398825426191	0.0207390639209843	0.0072746367122377	0.0246044265813143	0.0533363843567527	0.123361327536299	0.239364364417451	0.0214594558709989	0.0144425254804102	0.0346337674087555	0.0750345729421543	0.575045603772247	0.00417795049694641	0.02857823514665	0.0643164129046336	0.0783122124917585	0.0782528835012783	0.0218280327937217	0.223266750376745	0.0182652841412752	0.0445324984316238
PC17	0.0320089471472289	0.0154458295984919	0.0560682325444096	0.0105059996400574	0.0168232483425943	0.0284542855769292	0.0567670011739268	0.0296904697268279	0.0545201064169359	0.0782785065276582	0.0163397401924617	0.0150782918903544	0.00802824461751523	0.288751444023435	0.00208194551952241	0.0343063853089171	1	0.126281221854687	0.0255275459205085	0.0844855286071157	0.0363291311317248	0.0192410313928076	0.0192861809884437	0.0465638225787386	0.025489222974142	0.00374409764239581	0.0716810284717343	0.0494334859741676	0.0832148311147619	0.0143420645147518	0.000748630822516352	0.00128649123701513	0.0821746360900072	0.000182048710315498	0.0286825771616144	0.099569218399091	0.0384697294742862	0.0415863999013712	0.0285474680765324	0.0365861694349102	0.0436800383319405	0.0770864379440629	0.0163360360222152	0.0216582515710613	0.00532967557103631	0.0621164498985351	0.0966902717733521	0.0197164304615541	0.236410928632164	0.0752715386409988	0.0140219546342177	0.0585612422591196	0.0660700249945707	0.198429801831561	0.476060243862547	0.00393352122575206	0.00294959959774072	0.0768601304177518	0.0891872810632565	0.0890830189756869	0.010612876387379	0.13827328438307	0.0214575960342311	0.0571625535541497
PC18	0.0115544069135704	0.0289296697484151	0.063235422433597	0.00399370719087333	0.00630885581928796	0.0189578694217564	0.0300447413691844	0.0404833079953655	0.0108901125352365	0.104707871517804	0.0200350892748558	0.0564219910773886	0.136564568872049	0.0436899382977849	0.021622182365156	0.084910318388037	0.126281221854687	1	0.021133549872333	0.0306063080375463	0.0141151052729379	0.0535232002346559	0.0733628865267871	0.0234647253762671	0.104800079587759	0.0172549659545521	0.054860734497387	0.026541315409029	0.0216077166640032	0.000948470272695206	0.00973248474675971	0.0567141737274013	0.0602880509114976	0.0387054505142402	0.0274309503764672	0.134834299626503	0.0730543949634679	0.0318498772792244	0.0246960693685538	0.103315518734096	0.0329531581085302	0.0264468774676141	0.016841002146571	0.0523098784963715	0.0162260403284013	0.0254312530304409	0.0317678231680675	0.065801118650587	0.038483537875352	0.138290205127291	0.0665521910134002	0.0844116400297786	0.0548606148280617	0.145136323187714	0.410174672880564	0.00962539854233366	0.0144247292542456	0.0493567699241988	0.0550523176092747	0.0549978766781487	0.0204715119648551	0.0210882307869712	0.0365421564810362	0.0203481694249814
PC19	0.00932593185177823	0.0290072840148396	0.0326383249373724	0.0452948018757251	0.0097489232471161	0.00283549323601023	0.0337890309426417	0.00367895632723927	0.0371070943950267	0.040144901888637	0.0259973854736748	0.00136206412865455	0.14111665638497	0.100946876004219	0.0499078027622138	0.0529413180739318	0.0255275459205085	0.021133549872333	1	0.0333161303805209	0.00400578407540871	0.00398096096702384	0.01392494404983	0.0442789585662583	0.048287512317898	0.00535872028965978	0.00854346361625137	0.047383343791668	0.00534364869734439	0.0347982627557249	0.00619553196814537	0.0206309141748469	0.0627197421204402	0.0277047344047916	0.0379363554609442	0.00159989871511166	0.0108986155835887	0.0112330516987597	0.00439424041904512	0.0173855654524846	0.0349922209188455	0.0416561615989963	0.043966686875009	0.0575832370184902	0.0532961709385159	0.077570889581486	0.128595559681757	0.165776492005292	0.0350230226154726	0.0838938177802318	0.0932818563634436	0.00630960708935737	0.0794456593345122	0.091080386004749	0.411502994748698	0.131736056336784	0.0350188909236985	0.0818887979581873	0.0880843253462558	0.0879258436246575	0.0301448667922872	0.0104812904116636	0.0106310681693743	0.0449550415802256
PC20	0.0228872918971929	0.00272625988384085	0.06538173848154	0.0286255536240168	0.0232410026112864	0.0416919207856513	0.0502806673305762	0.0516370949883688	0.0123705743924713	0.0513852342723533	0.034231314338575	0.0373646977226377	0.127669081907462	0.140004235466015	0.0195981930975825	0.0470573454615925	0.0844855286071157	0.0306063080375463	0.0333161303805209	1	0.0533660914353542	0.0176097798976948	0.00213339461057994	0.0037535811418689	0.0769398656206067	0.0499600742702751	0.0157103564458699	0.0523890336451882	0.0626308912018641	0.00941420211966113	0.0441334917385182	0.0150480502780296	0.0368320343497247	0.0126252179542272	0.031416804545347	0.00891219767225535	0.0380981333297554	0.0484569375883839	0.0183108029040937	0.035452148598329	0.024118362484159	0.0264013125723685	0.00739357753830348	0.0332673917887266	0.0389348117084917	0.0787815266798157	0.0765209059799791	0.0330988457483277	0.171133258990709	0.155101275022265	0.062746160163175	0.0761302900819395	0.0478963415255408	0.14788580484277	0.406333069862419	0.110463019332358	0.0187519530039585	0.0426265813549578	0.0509528742218739	0.0509096950672525	0.00701005626676887	0.0446422837820042	0.00953313662063062	0.0308610558779453
