PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	gPC1	gPC2	gPC3	gPC4	gPC5	PCR	Cohort	Sex	Age	Ethnicity	Height	Weight	BMI	Death cause	Batch ID	Ischemic time	RIN Number	Tissue Type	Tissue	Uberon ID	Intragenic Rate	Total Mapping Rate	Exonic Mapping Rate	rRNA Rate
PC11	0.00120612089436885	0.000274235634009827	7.25762851428637e-05	0.000669120878621518	0.000601989366745116	0.000434868608092739	0.00109772366350613	0.000475432366316021	0.000913772711724737	0.000219651643351679	1	0.00147528430598308	0.000572119310031551	0.00110223669154002	0.00110894238641178	0.00146945924191196	0.000801300782799191	0.000444785775522575	0.000442049263258623	0.000854573761898874	0.00101914316378407	0.00086195503388156	0.00201182592272438	0.00130165422520672	0.000536038878020433	0.000205847931503163	0.000566454934925128	4.96104423585823e-05	0.000283359178919364	0.000934639554061788	0.000224434729763244	0.00095648805656006	0.00160217722248682	0.000317296764672181	0.000515853619213049	0.000757700424295218	0.000709763348027965	0.000266969121477323	0.00110309268428754	0.000647241948324747	0.048384676124077	0.0131239558091431	0.066221739000197	0.0244235640825878	0.0332966921302323	0.0653329242130037	0.0127922175708642	0.0243312817234177	0.0536603073192158	0.0562027668447259	0.0520247090269208	0.065917516670159	0.0539597857973995	0.2674683416989	0.298832975374648	0.00504915121181144	0.0887331290664914	0.00326220914953697	0.00460920549220759	0.00460916885595906	0.0249201092488242	0.052012315494622	0.0153795395815421	0.175529303100422
PC12	0.00128591818450092	0.000229484807805658	0.000420295947748351	0.00124149768248899	0.000307750328365102	9.83715031349303e-05	0.000784165824264247	0.000101444707338296	0.000339133915741727	0.00042449904896696	0.00147528430598308	1	0.000170384508237243	0.00140729497033247	0.0010663685968297	0.00207688323085817	0.00251569595443136	0.00113125166410101	0.000636975650365792	0.00108240935371912	0.000196614688880615	0.00174187472466507	0.00141185691962413	0.000718304099928935	0.00095251023491039	0.000216492045615291	0.000828106919850611	0.000503995347117991	0.000946454248638486	0.000469936239499905	0.000149098340731146	0.000541869081165365	0.00165017880325195	0.000562093814440282	0.00075668463260665	3.33783143232173e-05	0.00077897699163675	1.70351562748532e-05	0.00188002699425472	0.00153710188983856	0.0133570290190975	0.0144372566436828	0.0321325783494647	0.000493710047145878	0.023088044459212	0.058107834349352	0.079683143699381	0.0516974838350668	0.0359761776886796	0.0786142708546713	0.0658426361258833	0.0619970408031939	0.0366205816471831	0.124009112826731	0.331223843383869	0.112057208856797	0.0233449226636201	0.00150893372021251	0.00254427166780895	0.00254425815979008	0.050823581048363	0.175389629478635	0.0857363768973323	0.0216400329611235
PC13	0.000642414278238491	0.000821314478097806	0.000280327553117651	0.000717495899203009	0.00042578112744906	0.000432620880166899	0.00039336487136568	8.12230416554179e-05	0.000467348323299415	0.000383194495574127	0.000572119310031551	0.000170384508237243	1	0.00125181692962469	0.0019974149310176	0.00212248839435351	0.000661865077505646	0.0014577437183041	0.000244671765331871	0.000846710175557379	0.00151296241745325	0.000839502800622272	0.00243170486729298	0.000523956148804615	0.000190427595282983	1.67403743282207e-05	0.000822141663350722	4.23965519268064e-05	0.000813325964970668	0.00117087106093037	0.00196313353179199	0.00188826909269134	0.0027360571828578	4.71985169320072e-05	0.00217172170434338	0.00192738665011521	0.000120883978108181	0.000729823178734177	0.0018214578103555	0.00149412679597215	0.00995569432135817	0.0156961454972952	0.00887957569586406	0.012986936339494	0.0240783855883017	0.0781593541085988	0.00263409479846504	0.035108890747183	0.0146170256579338	0.0820411325776723	0.0423236902314725	0.0436621688933814	0.0288564219926463	0.0353547791802416	0.379409660900759	0.0176375739194223	0.00725122473427608	0.00403230727391687	0.00436794483291476	0.00436794173951189	0.0610780362390583	0.208817186759412	0.0222407549446127	0.0638128191550787
PC14	0.000286326406188767	0.000229193333277499	0.000393090366393223	0.00140963204845386	0.000934215724722168	0.000593854913547974	0.00162001427026116	0.00131048037163837	0.000545000794963909	0.0026214501080413	0.00110223669154002	0.00140729497033247	0.00125181692962469	1	0.000727022569654296	0.00353343927526004	0.00205269142189297	0.000170665407304258	2.08334580705217e-05	0.000316958350945058	0.000730987521589859	0.000185954015160009	0.000472156604021108	0.000107063818586898	0.000206283493682931	0.00148848824126665	0.000106435583533945	0.000271616146136765	0.000633186586785193	0.000855240426900384	0.000380200861755367	0.00175627207656646	0.0014672963159447	0.000490231213603778	0.000370730055939638	0.000327360204070279	0.000719337264712598	3.67734784277997e-05	0.0011388645858899	0.00127248028978794	0.0251165873870311	0.0210871709671829	0.0199660188894773	0.00363426202020988	0.000530347661143203	0.0016771283392382	0.0221522358602708	0.0123655039622174	0.0269758335933024	0.0123587632403079	0.00749941775919523	0.00982317507934523	0.0129832341896672	0.0446910553164917	0.230419855253892	0.0310926560246974	0.0473906326137693	0.00625510273991163	0.00785122657674472	0.00785122590679516	0.107810710415561	0.0221842675001714	0.0613240127494606	0.0253331417782298
PC15	0.000503593035751921	0.00183228600168184	0.000338596766311624	0.00010023244025273	0.000794996521350584	0.000505937369138955	0.000946377705306263	0.0010194668852403	0.000934401369125142	0.00167757450335651	0.00110894238641178	0.0010663685968297	0.0019974149310176	0.000727022569654296	1	0.00433691716911727	0.00146757892285068	0.000204967449424514	0.000584210037039268	0.00270443297539067	0.00484233488753235	0.00121625426767414	0.00415280061627844	0.00286016735223195	4.55348137346932e-05	0.000343167507254728	0.000899861701059674	0.00134255145758851	0.000885892424961869	0.00115379871805228	0.000767491371847908	0.000390470190014802	0.00291878554712311	0.00100586033031933	0.00298711550390784	0.000478604815101929	0.000737369836493305	0.00105173906360133	0.00213216539954831	0.00244524613015223	0.0227139205816317	0.0244234970929197	0.00988611295001428	0.0138998909754645	0.00286064710090646	0.0848394829322185	0.0183716609851173	0.0250210512233073	0.017897738672002	0.0661241963832587	0.0384509439199483	0.0574355624565107	0.0529395085332715	0.0338997848061118	0.328269482002952	0.0307207004052731	0.0267866884251271	0.00390598465258923	0.00705396687977569	0.00705394465957057	0.0302125727166275	0.00663110535243908	0.0122096117861873	0.00656005428126356
PC16	0.00155206961567218	6.08211915960419e-06	6.07144344024875e-05	0.00194446670217334	6.11931996794322e-05	0.000104674261767881	0.00200496187303654	0.00190822060240366	0.00247915438568429	0.00172397423717837	0.00146945924191196	0.00207688323085817	0.00212248839435351	0.00353343927526004	0.00433691716911727	1	0.00383904660624628	0.000316940074595568	0.00142213049380634	0.00156137729585384	0.00523911521630903	0.00118572052347821	0.00358584866471721	0.00190336784118768	0.00015346904834206	0.00101827430617082	0.00282830726153558	0.000105565637988574	0.00185504190241457	0.00286452967344578	0.00226580723541022	0.00129773433035789	0.00450228048817662	0.00157934734457776	0.00506915290895834	0.00195028900319708	0.000415307491283599	0.00171477420559276	0.00421404450321256	0.00424406139372934	0.00857498395392041	0.0115773908705957	0.0287814054256899	0.0124348586021081	0.0137508368837855	0.0982172305506993	0.0173645513389717	0.0269898768742935	0.0296897772945779	0.10067412725239	0.0103404714491831	0.00503989746503409	0.0102033298389341	0.0482454127525967	0.362415659108274	0.0488379000299235	0.0244877803561257	0.0038593135202681	0.00480862710284832	0.00480862075146067	0.0184952436201389	0.159779308998692	0.011470089384923	0.000846923827218908
PC17	0.00103793462329809	0.000447824345228661	0.00233520740632067	0.000502576082542693	0.000786767977584684	2.68010459289179e-05	0.000379495884060313	0.000807624722698941	0.000637941535540735	0.000270130258197861	0.000801300782799191	0.00251569595443136	0.000661865077505646	0.00205269142189297	0.00146757892285068	0.00383904660624628	1	0.00231929007611294	0.00117486243327579	0.00123759258628087	0.00136628471174015	0.00173087403857051	0.00140079768025145	0.00104955458857228	0.00126149404435819	0.00104724343624586	0.000100983578428375	0.000322389606160128	0.00226159875958823	0.00187633284818049	0.000394366419824089	0.000128035167300397	0.00156608706209701	0.000463421513168232	0.00175017987473083	3.29108482565125e-05	0.000394033074137462	0.000477135668022796	0.00155061477220011	0.0028055374805849	0.0182731972180885	0.00438457087687539	0.0148695127618018	0.011784957497949	0.0357365435261508	0.0542586486842732	0.0213754785430368	0.00999735694493083	0.0222509135470216	0.0522623676652829	0.0216891750934552	0.0298182321830733	0.0519865544435167	0.12660951043732	0.426864823462974	0.0228326615659383	0.0459596184033914	0.00274293538851512	0.00338189519136595	0.00338182783058844	0.0276273360485138	0.199832920706468	0.00417726688285031	0.0374510237878869
PC18	0.00142954559322024	0.000453622678228403	0.000923232967584828	0.000838142174003418	0.000463186514770339	0.000146615301059364	0.00111777946340946	0.000236225578135935	8.29506598827951e-05	0.000465048342833125	0.000444785775522575	0.00113125166410101	0.0014577437183041	0.000170665407304258	0.000204967449424514	0.000316940074595568	0.00231929007611294	1	0.000225873875325959	0.000189834544862847	0.000337742772740813	0.000391432138926607	0.00122972293068627	0.000495065082743132	0.00121160869541338	0.000375140948549225	0.000543434246339375	0.000425982284505223	0.000612280616003735	0.000175524677102885	0.00111828782594669	7.25776977008306e-05	0.000731282100464447	0.000191811575616168	0.000882123180467325	0.00138630373467163	0.000510464255750167	0.000541525989460387	0.000468711592487021	0.00102405757378667	0.0113129204168668	0.0158931525290936	0.0160818521325029	0.00466341362015136	0.00844958499739807	0.0580308677385377	0.00273229580896423	0.0308800028267764	0.0333542105326333	0.0734069263188873	0.0404077988852809	0.0211028110677682	0.00200176121098794	0.0861068130848957	0.522545486107831	0.0238030010573948	0.00456500657169176	0.00261631113535326	0.00304336745303708	0.00304334455867356	0.0199626183131478	0.235456423328749	0.00137235653680995	0.0195351550482694
PC19	0.000281176999442124	7.44633198103105e-05	0.000317051038320392	7.88028550788621e-05	0.000168505402036894	0.000331913886210255	0.000717528709631561	0.000251733547958838	0.00112179778706482	0.000392106962057904	0.000442049263258623	0.000636975650365792	0.000244671765331871	2.08334580705217e-05	0.000584210037039268	0.00142213049380634	0.00117486243327579	0.000225873875325959	1	2.85023841777076e-05	0.000568827592230032	0.000819273912527944	0.000939001319071208	0.000731304889304571	0.00111672769114758	0.000364800638416742	0.000372573021685337	0.000536326458159205	9.84666357916517e-05	9.71545457861987e-05	0.00064413722624137	0.000742651918352503	0.000269175589072522	0.00041144690709159	0.00102112761890123	0.000654829155419757	0.000161070640698936	0.000408482090155789	0.00127587604309612	0.000761346620896728	0.00176236277435176	0.00565680140347923	0.0167148268243408	0.00305599029888618	0.00143438299588189	0.0046680186955032	0.120250943270671	0.0714815861051915	0.0432865865079113	0.0935329986333042	0.0568251716302161	0.0100733323071195	0.0305981159916138	0.136725868158682	0.292172169941843	0.112046951082923	0.0731509015045605	0.0021649395289256	0.00251923980995828	0.0025192244343812	0.0125917865882951	0.0593949681654452	0.0191875966232468	0.00362776497516493
PC20	0.000716858475597588	0.00165936073319789	7.03865127001323e-05	4.0253416073457e-05	0.000422402808773018	0.000100984580371572	0.000252969066535255	5.31956720198779e-06	0.000312657336330356	0.000478108039816428	0.000854573761898874	0.00108240935371912	0.000846710175557379	0.000316958350945058	0.00270443297539067	0.00156137729585384	0.00123759258628087	0.000189834544862847	2.85023841777076e-05	1	0.00273357747947496	0.000630849937452606	0.00281170661508106	0.00161732498209824	0.00021317294173675	0.000500404933050804	0.000208493843227931	0.000487154557968855	0.000841361481742832	0.00123875696285392	2.01552743701264e-05	0.000188650634891985	0.00195151698349753	0.000683457773087401	0.000999417126213262	0.000432015562625313	0.00051935093415102	0.000208828712340978	0.000756039063837198	0.00129177027624576	0.0017420020530679	0.00331057833396801	0.00286246153433583	0.00525001893422178	0.00311384512788954	0.05106309130696	0.0537220649566463	0.0365131428994705	0.0445091087272025	0.0683889288420228	0.0320784968522518	0.0338942481327275	0.0172923621253757	0.062813813139025	0.304671689109995	0.0443879222937957	0.0261979842328107	0.00303229883676328	0.00484788621848843	0.00484788563745478	0.00702269876794953	0.014582205946193	0.03245881825287	0.00847473264556934
