sampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
GTEX-13NZ8	-18.8785879883117	-41.7402202636429	-28.7029125031763	-15.4758511881396	15.3822770558584	-16.6717224258157	-6.98098239543812	15.4494543586278	1.09622175842813	11.6225689542034	4.14770588412944	10.9934842096794	2.81730695309312	2.0109725508987	-5.3779997052902	10.8928826973919	1.17722149325534	-6.9871452631953	-5.12847130440578	3.75495757944612	-0.587449887839029	-1.35053474817814	3.6283910505403	-0.959346725403654	-7.06781294730914	-3.11691869853849	-0.720829792458136	2.23691779805225	-1.21622524723423	-2.37640764052553	0.513196170565628	-2.98140645242298	-1.81260184775009	2.31532451889985	-2.61404306308721	0.0107400765775091	1.30242707189509	-2.77296221180537	-1.26633456833836	0.619994624166245
GTEX-13NZA	-17.4856884966462	-2.98855420845861	11.3838677510729	1.63033197997873	-5.32768129179149	-2.18044638061818	0.270025114925609	-4.30607683120874	-4.77964869824399	5.17313808212464	-1.88840431353224	-0.529018308845243	-3.07459218536057	-1.54004816891958	1.78579711914692	-3.13229990255602	4.75413219119856	3.70160600982534	-1.89706216713226	-3.65140251177325	1.07533563327203	-1.1168753853994	-1.45406447444067	0.716021174487488	-3.24880176448392	-2.97634955810127	-1.22909370548529	0.682972470964147	1.69571244234242	1.86962796781046	-1.95293502188881	-0.192444115860853	-1.75567223746079	1.68525794142568	0.686937014217517	-1.15654744788476	0.616732443479641	-1.28088933106342	0.963029698897187	4.29202025853488
GTEX-13NZB	-12.9686302004748	-4.89468339809486	-13.9617341659502	-1.50680816909167	0.851906072515553	-19.0093064650556	-1.15949336702257	5.88925402572355	2.83889165394229	-6.58276469682363	3.83292637736509	2.5194535052842	-6.12762165417078	-6.84088371609829	-6.21657299888712	-5.64001611978061	-0.393803806532386	-1.67786333120058	-4.49677375343959	-1.33058712772912	0.857436052977129	-1.35825316605987	0.735755116544924	-8.61711753844297	4.90193262789822	-0.952551582409863	-2.95547208631844	0.241079855469934	0.486490187237379	0.894014973450802	2.41449711325838	1.70671745886962	2.15108514179427	2.40929433681403	-2.18037900942299	-3.03099114287047	-3.60080631628825	1.41998068731956	-1.48651106996837	4.31297168096955
GTEX-13O21	9.79742151599392	19.1476634899844	-4.58582434473786	-7.44515107771202	-9.60206063497665	2.10528628334778	-3.92150310386209	1.26145397878682	-9.03228855839446	-3.70458344044887	-0.712020437856975	0.225712986624693	-1.24974347090612	-3.74052965250068	-2.13539087836061	5.74156840808418	-0.349904269268357	-8.19440390463606	-3.51727832954307	-4.42392412230889	-3.80527465013935	1.01799367281319	-7.51058125878642	0.592978416675853	3.61828694545792	-4.41246315990485	0.345615588739982	-0.132025476831582	-0.519904960195057	0.607787335817388	0.218593618317616	-3.11889154525971	-0.82693577432069	0.396950425830192	-3.04165618061514	1.74473065111222	-2.54201166713871	-2.32921676151537	-2.27855504461483	1.75309054633266
GTEX-13O3O	1.97115010781503	-1.25552216474425	29.8368442444601	7.48773906652535	1.85821899860602	-10.8268357909986	7.113951745795	10.5919535280382	0.145190558728673	2.96022655665897	3.67216009009517	-5.72059683772575	1.81405247313455	2.71298260855412	-3.1775967519863	1.10781957746993	0.819705879647915	2.61807009559679	-3.07513041282542	-6.24462358921663	1.62293238750292	1.19475876799725	5.88824344906028	0.631206677418124	3.24427108831479	-1.38741829781033	-2.18936546182561	-0.423465189563703	0.658085107069397	-2.83595934882319	3.30273106617958	0.717984329937066	0.93209094850643	-0.20845471314096	-4.82785138931267	0.770730940706905	3.36753297915655	0.139968123394074	-0.439633844057233	-1.6557227023973
GTEX-13O3P	-16.7557276324076	-43.2448256055543	12.7990516431863	-7.60919903545428	2.50591306381451	2.44922492995257	11.3801751612066	-0.888196396723653	-3.18369953716279	-11.0705913859463	5.60980597042914	-6.55870299143918	-6.80673128058095	2.86312784715793	2.48552484131997	-1.63405641128011	0.988355177047856	-2.76723846473723	7.55369494857565	0.463215743785205	4.64555260385659	5.07541437400352	-1.17090625262888	3.77954685470437	5.40592833094568	-0.0159078170836476	2.97036484037965	-0.330591831362764	2.62126742244423	2.95265919176182	-4.81063110042573	2.1611924256011	-6.75842449001512	-1.32702415790714	-5.75643375989782	-2.25506824734701	-3.08317615367262	2.06697943717051	-1.06076732380949	2.40433206852919
GTEX-13O3Q	-15.9631604500268	5.54647371749434	-4.40021878935898	7.87289406393928	2.56004716594374	-7.45541350738801	5.65052864620347	10.6319087787884	-1.86075553775996	-8.63736805346649	6.9003323591883	-6.40033848908152	2.79060989880581	7.07214212442533	-2.40180631373933	3.13814128511274	0.151447919186582	-2.14891166328932	-5.67704756987841	1.35638612286974	3.16544221593981	0.882398852487041	5.23603904936225	-1.3545320318829	4.32086189036473	-0.533289097622572	-2.41217356019713	-1.32434282083052	4.15439744959804	1.93395176475272	3.46073233283836	0.235031236428712	-0.279223290414229	-0.78351963611343	0.372426552481449	2.74753244235296	-1.13982662471622	1.09888039735237	-0.36980779859362	1.16447443178611
GTEX-13OVG	13.1545637259934	9.33366253224317	12.7550868641214	-10.5911484706608	-7.79416998371101	-8.2982268321656	2.56879689566546	-0.993476428433915	-2.70435115286555	8.87577169665512	4.79559861266021	-6.75952781468708	5.57415584713719	5.26157744675103	0.0103080204930161	0.9113518478229	5.19436169958085	2.38469214462695	-3.50208783538903	-0.398147634095819	5.59184561521656	0.304329950820836	1.23308775638151	1.58294177671367	-1.66769708296158	0.689931680782557	0.672732633649197	-0.925563478674177	-4.23332497437608	0.601093232956861	1.74657414063817	1.11805634964161	-1.42985855636121	3.6363412639431	1.56107043535891	0.534194851505572	-1.1655276059983	1.97358853563381	-0.390038650664974	5.82515464005914
GTEX-13OVH	-4.24501346163714	-14.0467116117464	10.2874756135884	3.91450467365204	-13.7046767638356	-7.04081105047476	8.83100534887567	5.24097973087847	-3.82576418280725	0.0761028797185816	3.63805683675942	-4.2772014159798	1.04661109662	0.31812018515424	-3.32077725847536	-2.58678900814616	3.49465197983767	2.83101236871058	1.92367045304804	-2.22116229100258	2.49935613770571	-2.50241624472065	2.82058036677204	-1.8372514237449	2.9712907097775	-2.74247698154557	-2.36249861967618	-1.2063582946235	5.47103032150581	1.34938304043053	1.86200967585649	-0.971937949624816	1.22926042057459	0.367783400392607	-2.55505244971092	0.873092758531061	-2.833422149615	-0.377286689038385	0.311073656950451	-0.159587259009092
GTEX-13OVJ	0.0869346527226279	-22.1114990302379	30.5920678542302	-0.345816974470542	-13.1635963673967	13.0458125584531	-1.17718392197133	-2.35530391081521	-15.3788566709859	-0.890599888462661	-3.35256819852554	5.78468059836258	-0.247994511116638	0.286325580160994	4.76872054928158	0.485038811355697	5.51610307850622	-3.03197495572537	1.38313353722833	-2.04035040345256	3.41636589342007	-1.01206237965279	2.95341051540035	0.701626189424512	0.173669556627391	-5.82860431984129	-6.82639513610577	4.4813708013498	1.28542117827693	-3.28660351287303	-5.01452123883552	-3.49525454610834	0.780868048918014	5.69542024625123	5.7842574260245	-1.53664705044775	-6.1845510918064	-2.00042683830946	0.794126630436596	-1.14990803187296
