set,ATAC_tissue,CLUES_tissue,odds_ratio,p.adjusted.BH,p.value,conf_int.lower,conf_int.upper
HET.each_tissue,NK,CD4,1.238752776647095,1.0850569163108899e-5,2.7126422907772247e-6,1.1319246201621858,1.3559806454410008
HET.each_tissue,NK,CD8,1.4843121567219628,8.179255151144884e-6,1.8403324090075989e-6,1.2583368821949756,1.7533870940260508
HET.each_tissue,NK,NK,1.7815878433959944,1.3795948474830867e-14,1.034696135612315e-15,1.5407189648644437,2.063218471054896
HET.each_tissue,NK,cDC,1.2967057744830037,0.01061175530083155,0.005305877650415775,1.0786427259786067,1.5606979261646292
HET.each_tissue,NK,cMono,1.2428388620203994,0.005038088624517776,0.0023930920966459437,1.0789976698210177,1.4323072161862573
HET.each_tissue,NK,ncMono,1.2419258639344295,0.02485214261277224,0.013047374871705427,1.0457681517528885,1.4761228948014478
HET.each_tissue,NK,pDC,1.328433728161402,0.0049845788761363015,0.0022430604942613357,1.1052312816096153,1.5987285590691669
HET.each_tissue,Open,B,0.8521973999148253,4.502607299743956e-9,7.879562774551922e-10,0.8095649950588645,0.897034463294312
HET.each_tissue,Open,CD4,1.0043047121330935,0.8199772581298698,0.7584789637701295,0.9776714225834622,1.0316721668478543
HET.each_tissue,Open,CD8,0.9519497240102545,0.0952733090656557,0.05716398543939342,0.9048661228371592,1.001483549804727
HET.each_tissue,Open,NK,0.9454387797675468,0.051906709922509106,0.02854869045738001,0.8991471726594985,0.9941725415782668
HET.each_tissue,Open,cDC,0.9147739029060188,0.002968738711041974,0.0011874954844167895,0.8666517698846248,0.9655416469852582
HET.each_tissue,Open,cMono,0.909810769065732,6.582671053242766e-5,1.8102345396417607e-5,0.8711561585714571,0.9501147631746558
HET.each_tissue,Open,ncMono,1.0237112497704397,0.4324305925497886,0.3550503093814461,0.9744596033543724,1.0754582757182165
HET.each_tissue,Open,pDC,0.7994856289905762,1.191959836533672e-14,5.95979918266836e-16,0.7569107515534884,0.8443636749145982
HET.each_tissue,T,B,1.196831955385506,0.0019647751229131625,7.36790671092436e-4,1.0775428133196903,1.3296592987542706
HET.each_tissue,T,CD4,1.2868674500795119,6.727394393204667e-20,1.6818485983011668e-21,1.2212365697413634,1.3560883952102067
HET.each_tissue,T,CD8,1.4606270982647136,9.67853054295042e-12,1.2098163178688025e-12,1.313464274889027,1.625163157826821
HET.each_tissue,T,NK,1.1882320344273094,0.003702241804187592,0.0015734527667797267,1.0670302970844765,1.3235148852958822
HET.each_tissue,T,cDC,1.2590988064363593,6.400226551408032e-4,1.9200679654224096e-4,1.1143230867990177,1.4233259751784977
HET.each_tissue,T,cMono,1.3353245381279455,6.786942992239298e-10,1.0180414488358947e-10,1.222001705718089,1.4596162922620837
HET.each_tissue,T,ncMono,1.204884657400332,0.0017168962694056726,5.579912875568435e-4,1.0830933976379968,1.3407537751720267
HET.each_tissue,T,pDC,1.06583635827358,0.40112624006315856,0.29081652404578995,0.9483594808918112,1.1978856145546932
HET.single_tissue,B,B,1.6677961986911345,2.0714128431164524e-9,1.0357064215582262e-10,1.4225726880153688,1.9583852257489744
HET.single_tissue,B,CD4,1.1128413376153,0.09371049692839153,0.037484198771356614,1.006157014553461,1.2310726936491037
HET.single_tissue,B,CD8,0.9441216485016436,0.904705571403673,0.904705571403673,0.5723138274335218,1.5544933367201628
HET.single_tissue,B,NK,0.7605500822839245,0.07042700021894359,0.024649450076630258,0.5971544043473124,0.9666509909485478
HET.single_tissue,B,cDC,0.8700971967058755,0.7489410045254616,0.6929281955684775,0.4986045131189739,1.5096203355923061
HET.single_tissue,B,cMono,0.6114488087868406,3.787345363283527e-4,4.734181704104409e-5,0.4780175509177265,0.7792531888343601
HET.single_tissue,B,ncMono,1.2193900468260428,0.39328584769086483,0.25563580099906213,0.8749950553168051,1.704132283206172
HET.single_tissue,B,pDC,0.5605720325056798,0.06127713633658761,0.01991506930939097,0.3358118929071767,0.917971340925717
HET.single_tissue,Mye,B,1.2995368003688577,0.1444322351585355,0.0652746171667266,0.9842217667191935,1.7203690234201268
HET.single_tissue,Mye,CD4,0.9559958086386952,0.5551987139495917,0.4441589711596734,0.8540554059785723,1.0700626654775625
HET.single_tissue,Mye,CD8,0.7177263218360728,0.403902829770492,0.2795396082578544,0.4005746553755226,1.2671096825800203
HET.single_tissue,Mye,NK,1.2318591706578288,0.20699585003906817,0.1138477175214875,0.9532495648951652,1.5946451456611488
HET.single_tissue,Mye,cDC,1.2396340308103013,0.657515301769636,0.5588880065041906,0.6694580769957009,2.3214702097192337
HET.single_tissue,Mye,cMono,1.5499664196716552,8.697837437574489e-5,8.69783743757449e-6,1.2727657247366633,1.8916546873525404
HET.single_tissue,Mye,ncMono,1.5649552263342088,0.029023302943623465,0.008706990883087039,1.1149076348244744,2.2114092273820742
HET.single_tissue,Mye,pDC,1.3093951501055152,0.4868009033074844,0.3651006774806133,0.7617740229996187,2.2750975165736844
HET.single_tissue,NK,B,0.6682994032814212,0.02367741455079088,0.006511289001467492,0.49578463652467925,0.8967379125427535
HET.single_tissue,NK,CD4,0.926740210346641,0.39328584769086483,0.24837787982898718,0.8154341432011596,1.0530161733521226
HET.single_tissue,NK,CD8,0.885149990967367,0.7489410045254616,0.7114939542991886,0.5271043558522485,1.4799459302411178
HET.single_tissue,NK,NK,1.732189090566917,3.210304051333023e-5,2.407728038499767e-6,1.3698348613918618,2.198747945321005
HET.single_tissue,NK,cDC,0.4384573441297216,0.07588903222624487,0.028458387084841826,0.19445509308045092,0.9253675824241139
HET.single_tissue,NK,cMono,0.9013695211332312,0.5967757419328512,0.4923399870946022,0.6814531008247439,1.1909702288014576
HET.single_tissue,NK,ncMono,0.5170619148371073,0.021333738836743697,0.005333434709185924,0.3150540703907097,0.8316529872287834
HET.single_tissue,NK,pDC,0.4563905105140898,0.011005323144715222,0.0024761977075609246,0.2619987042760442,0.7719346360222679
HET.single_tissue,Open,B,0.6401122174008107,1.2512624084008346e-19,3.1281560210020868e-21,0.582350326757823,0.7032900254762475
HET.single_tissue,Open,CD4,0.9637264882692564,0.1444322351585355,0.07221611757926776,0.9257103588810175,1.003317808727125
HET.single_tissue,Open,CD8,0.769900957572184,0.008812717736623076,0.0017625435473246152,0.6520339437974139,0.908354581031409
HET.single_tissue,Open,NK,0.8349178435102456,0.0018218204193278641,2.732730628991796e-4,0.7569827461580425,0.9207010349252644
HET.single_tissue,Open,cDC,1.0313568696457052,0.798124592316413,0.7781714775085027,0.8541831230504865,1.245372661651658
