"Adipose_Subcutaneous" "Adipose_Visceral_Omentum" "Adrenal_Gland" "Artery_Aorta" "Artery_Coronary" "Artery_Tibial" "Brain_Amygdala" "Brain_Anterior_cingulate_cortex_BA24" "Brain_Caudate_basal_ganglia" "Brain_Cerebellar_Hemisphere" "Brain_Cerebellum" "Brain_Cortex" "Brain_Frontal_Cortex_BA9" "Brain_Hippocampus" "Brain_Hypothalamus" "Brain_Nucleus_accumbens_basal_ganglia" "Brain_Putamen_basal_ganglia" "Brain_Spinal_cord_cervical_c-1" "Brain_Substantia_nigra" "Breast_Mammary_Tissue" "Cells_Cultured_fibroblasts" "Cells_EBV-transformed_lymphocytes" "Colon_Sigmoid" "Colon_Transverse" "Esophagus_Gastroesophageal_Junction" "Esophagus_Mucosa" "Esophagus_Muscularis" "Heart_Atrial_Appendage" "Heart_Left_Ventricle" "Kidney_Cortex" "Liver" "Lung" "Minor_Salivary_Gland" "Muscle_Skeletal" "Nerve_Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin_Not_Sun_Exposed_Suprapubic" "Skin_Sun_Exposed_Lower_leg" "Small_Intestine_Terminal_Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole_Blood"
"Brain_Cerebellum" -0.0978521364718185 -0.0692141343644285 -0.0507865804097655 -0.00303063565946621 -0.0155656137627515 -0.0513872628651928 0.0322684450370306 0.0353581904530738 0.00686978714372763 0.722766226239724 1 0.0973984599705389 0.106699446568081 0.0313487334351515 0.13015737989305 0.0580638563468617 0.0216609853488076 0.0153432981628608 0.0508571164521357 -0.0461890614906066 -0.0610395931424906 0.0135446289606172 0.001410365522244 -0.00953436809730205 0.00865317979637966 -0.0190243302895473 -0.0125437270627084 -0.0185086077827035 0.00166318281403812 -0.0177266912198075 -0.0409445355270414 -0.0751027091699179 0.0690150677461512 -0.0577172493400802 0.00657253087448599 0.0127157718025375 0.0068983274394973 0.0528647946307612 -0.000548639018679344 -0.0489645199985423 -0.0579506934911921 0.0144104167793478 0.024270123514828 -0.0434781221321874 0.0287317427993065 0.017138635620839 0.0575570473846062 -6.35777685026091e-05 -0.0355717453306857
"Brain_Cortex" -0.104434655781738 -0.116923831509647 0.0375486358911929 -0.0386554160022438 -0.0320918279264257 -0.0686765089601086 0.26593423567876 0.425715028169018 0.255028112800275 0.0860734283962964 0.0973984599705389 1 0.553338173024282 0.206486944367468 0.190934275478099 0.304630193400652 0.238201930034247 0.0572401515831318 0.132868083494958 -0.0677156671593231 -0.0348177027767937 -0.00906819556308006 -0.0315869513068757 -0.0267993243049887 -0.00109470608994402 -0.0318226128403676 -0.0223937013759463 -0.0389882549171224 0.0101666737764363 0.00359866999957013 0.0248715178913334 -0.0781460264796401 -0.00166941629925195 -0.00449030865435356 -0.0574688598765158 -0.0213351279361052 -0.0169584072275237 0.0242088794576054 -0.0267479490108802 -0.0718871512823346 -0.0742482714369946 -0.0112604741063683 -0.0307046877172178 -0.0111299542163487 0.0169052661605447 -0.0340506149584065 -0.0529046066566819 0.00974718201391688 -0.0488071162576899
"Brain_Frontal_Cortex_BA9" -0.149622367670069 -0.0989741326505329 0.0387959928581713 -0.0305214745350402 -0.0351065612577188 -0.0833150351858944 0.334382634400731 0.490416704595606 0.270615022736351 0.155207977602861 0.106699446568081 0.553338173024282 1 0.297226223066838 0.381896491550984 0.356842074895935 0.294030111716495 0.0579084906390675 0.240375478168392 -0.0581858357599166 -0.0281756641768237 0.0174189151261031 -0.0367578343128495 -0.00220675255656435 0.00275566180754011 -0.00523952404502697 -0.0499074938628156 -0.0294664266595485 0.0224292769490749 0.00824447146911648 0.0283402748979355 -0.0625737917361628 0.107170402627319 -0.0281031094243856 -0.0770455246320019 -0.0352885421324058 -0.0414061182711485 0.000162793896126678 -0.00285823865689331 -0.0775227690639808 -0.0852734444887754 0.0198461383095521 -0.0125065628021558 -0.00156891992269537 0.0297232732914111 -0.0456404004228126 -0.00179579741941662 0.00935173114695269 -0.0176199568710324
"Brain_Hippocampus" -0.14337028185809 -0.0669949242922293 0.0239773637083012 -0.0610968004027301 -0.0297475869936272 -0.0920334972278443 0.391135416555275 0.285569432123378 0.334922254800651 0.0696032115028357 0.0313487334351515 0.206486944367468 0.297226223066838 1 0.377871701906003 0.331100623313612 0.342387186316659 0.223649431633101 0.356281069725476 -0.0708407337843071 -0.0280185760469661 0.00224121393269388 -0.0596542141248016 0.0043523021814656 -0.0269124829634069 0.0195742559751428 -0.0806008633464916 7.53676258280709e-05 0.0470028939111031 0.0237013975699671 -0.0419876362639554 -0.0246515289107324 0.0990824086181539 -0.0060974251171931 -0.0695235062610702 -0.0234687055522066 -0.0381362798975066 -0.062600085761211 -0.0339039414176477 -0.0539438393447689 -0.0573781043631397 0.0504036576973625 -0.0043895520096725 0.0153188067665981 0.0713601839364752 -0.0501692928966761 -0.0395694262263257 0.00931282290703348 0.00598901510699257
"Brain_Hypothalamus" -0.172272443549584 -0.032553302064372 0.0468075965125603 -0.0444542117307082 -0.0329940006059955 -0.126931769629299 0.417430941437691 0.363016904062986 0.291867249872659 0.213880769512871 0.13015737989305 0.190934275478099 0.381896491550984 0.377871701906003 1 0.395791616903852 0.311262746150838 0.106362751211895 0.410108384630855 -0.0272597254224862 -0.0283618016487568 0.0197931172125157 -0.0892609464754276 0.0115684995851703 -0.0197554995275964 0.0204247407345075 -0.0718975754959651 -0.00433890241550191 0.0218490908328707 0.00910710729400144 -0.0167033080757622 -0.0227489183232749 0.241371116843353 -0.0305687910691475 -0.0627315437943329 -0.0228419805551143 -0.0128037088454783 0.0499524528869364 -0.024321835877673 -0.121551143326214 -0.118600633172803 0.027168686067602 0.0350070675251337 0.02743055993183 0.0517520275903523 -0.0172420714318851 -0.0338803226769619 0.0143805992334276 -0.00939410116416152
"Brain_Nucleus_accumbens_basal_ganglia" -0.179779366873057 -0.120188218401972 0.0411817406293914 -0.0563309564840466 -0.0325626262349062 -0.106792659692372 0.390115989846959 0.348846137504064 0.531566106479273 0.102334460847208 0.0580638563468617 0.304630193400652 0.356842074895935 0.331100623313612 0.395791616903852 1 0.461077546592603 0.125182061246189 0.2559977384955 -0.0545916472953767 -0.027120681294656 -0.00430792208967016 -0.0683981017521828 0.00638639613724959 -0.0325536909734396 -0.00163798534581943 -0.0831487604619712 -0.0196680404021788 0.0180428895093228 0.00181579256186582 0.0137717525989309 -0.0511314024629252 0.110650178597183 -0.00754524229563535 -0.0899680640358863 0.00416420551519606 -0.0110824170068559 -0.00308778984876857 -0.00824123431620017 -0.0767371540971193 -0.0752486097560648 0.0115518573687732 0.00230838344016697 -0.00143018956129883 0.051670568202882 -0.0299239000411442 -0.0475093572942318 0.0144253112580989 -0.019261085181363
"Brain_Putamen_basal_ganglia" -0.124469545435034 -0.0860585152494652 0.0179878650658909 -0.0428798418764244 -0.0248992994296381 -0.0856073578086462 0.371036739672111 0.289673985313297 0.524611157803658 0.0556831491732768 0.0216609853488076 0.238201930034247 0.294030111716495 0.342387186316659 0.311262746150838 0.461077546592603 1 0.17006655568821 0.323587315213599 -0.0466384127313082 -0.0272153443620338 0.00130810589402537 -0.0507846557379743 0.0149795840884835 -0.0128663714261693 0.00815130503442276 -0.0630672111965724 -0.0240798369069281 0.0276339557078126 0.0124494599963832 0.00518216909228102 -0.048744636727892 0.0917947896750318 -0.00508733914205198 -0.0625717822692025 -0.00362998718060567 -0.0167285653538433 -0.0462338725806102 -0.00334604922588523 -0.0674776648549006 -0.0599640184888627 0.016990859206361 -0.00561457302142511 0.0025979454542104 0.0513689561692402 -0.037868048596528 -0.0620962834498962 0.0329708864241429 -0.00973674226357133
"Brain_Spinal_cord_cervical_c-1" -0.0611477064596393 -0.0674266812081076 0.0255163017924015 -0.0244625424953926 -0.00529095652623051 -0.0315895301589302 0.134275189078947 0.0667914655987526 0.161087793255182 0.0134526989184189 0.0153432981628608 0.0572401515831318 0.0579084906390675 0.223649431633101 0.106362751211895 0.125182061246189 0.17006655568821 1 0.223404567467055 -0.045573624555885 -0.0259608295935036 0.00371199063353617 -0.00514928884852989 -0.00620529562239942 -0.00625855404336299 -0.0130490185187782 -0.0190751423005972 -0.00500909854053591 0.00970348302639506 0.00150978520776287 0.00995748983934922 -0.00490730051082877 -0.000677151930665187 0.0073281482391082 0.00101818513806643 -0.0195905883538301 -0.00194916786778266 -0.0124479766249589 -0.0227213134345665 -0.0407260922846862 -0.0325607687551403 0.0123249292883449 -0.000693931729978298 0.00389813419156943 0.00768533252239524 -0.0130863790781334 -0.0182032719516954 -0.0118887809213586 -0.00851854337827489
"Brain_Substantia_nigra" -0.082807389277945 -0.0406068032398212 0.0361550149537411 -0.0450628190085325 -0.0164896040495909 -0.0713818877271551 0.36556417729126 0.234124120195459 0.23810710549427 0.0921955755981854 0.0508571164521357 0.132868083494958 0.240375478168392 0.356281069725476 0.410108384630855 0.2559977384955 0.323587315213599 0.223404567467055 1 -0.0199289824239884 -0.00846252796589821 0.00756032805550195 -0.0705380243473713 -0.0096234396239962 -0.0233819154543967 0.00445919015948703 -0.0506881519079075 -0.00198074588660714 0.0134420757357064 0.00976310139353395 -0.0150441213411517 -0.0440783695252957 0.142085572914701 -0.0184037729241812 -0.0347907734916911 -0.0235021388900356 0.00604300693480701 0.00727979246601774 -0.020401524575208 -0.0579723103440546 -0.0627207159645674 0.00869007942122953 0.0234636429406078 0.00133186092962458 0.0150550135986066 -0.0239476791316758 -0.0594401041233025 -0.00823679137400243 -0.00830157654833019
"Breast_Mammary_Tissue" 0.2834383072096 0.273522242110522 -0.0233103351513069 -0.0059036626094193 0.023169093560365 -0.000997699771321287 -0.0249813436917593 -0.0558366964731263 -0.0453498296456026 -0.0427688500780883 -0.0461890614906066 -0.0677156671593231 -0.0581858357599166 -0.0708407337843071 -0.0272597254224862 -0.0545916472953767 -0.0466384127313082 -0.045573624555885 -0.0199289824239884 1 -0.0323947680398568 -0.0443396367961669 0.000214095469283892 0.0248206485043826 -0.00446124143158413 -0.0396754249734377 0.000679156201029751 -0.0115718045982098 -0.0191293102163299 0.0129325946176183 0.000186583687907985 0.0273216411460234 0.022891416673987 -0.00394183743199007 0.0606047712866517 0.0256694248242945 -0.00751954253929266 -0.025377985195249 0.0419697085664242 -0.0124246081939066 0.00139416240311481 -0.00850990317387354 -0.0256376967756753 -0.0105396013970369 -0.00877664465240616 -0.0187711223484249 0.00657703929653165 0.00105973000968918 -0.0280710189593425
